Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
CASP1,12.629054379888018,3.106744129400619e-14,1.3650054299504977,0.9947290984684225,0.12889485635654635,0.08203988824233406
P4HB_3,12.619738464595784,3.1765534078458745e-14,1.3644118226950368,0.9947370418435543,0.3054874154483395,2.6084043826650147e-05
MAP1A,12.618816401267507,3.18354855194732e-14,1.3643487341443439,0.9947378855943673,-0.3217851281023149,8.915965337284039e-06
GAA,12.536449686848663,3.8755669495922085e-14,1.3586994260854945,0.9948130737702076,0.2654952700903525,0.0002808511162843064
ALOX5AP,12.504294542660658,4.185336509172885e-14,1.3564866191464318,0.9948423276598664,0.3975908875133242,2.5021025487230432e-08
TCEAL4,12.426513380611386,5.0421910168652307e-14,1.351116767931,0.994912859068673,-0.4017676682087533,1.7292862036296322e-08
TFDP2_2,12.421945661307582,5.097700139033207e-14,1.3508006620659703,0.9949169907859615,-0.37842814053230944,1.2780460334591511e-07
TK2_2,12.40965795859678,5.2501099570198736e-14,1.3499498804763554,0.9949280999155362,0.2384382785549929,0.0011522558604352866
PTPN6,12.403101033182129,5.333313614481352e-14,1.3494956385727286,0.9949340245438179,0.2929045837907779,5.726701049413124e-05
NRIP1_2,12.390031863143921,5.503149247718453e-14,1.348589729620502,0.9949458263781648,-0.17325845269668216,0.019001388703885274
TSPO,12.30064787740212,6.820858637729631e-14,1.3423753035920234,0.9950262895378711,0.4549050716134011,9.844166391475326e-11
LYST_2,12.29147696784408,6.972938422978465e-14,1.3417358496863039,0.9950345200310374,0.3746639428014364,1.7394963449042182e-07
CTSH,12.231183759358828,8.061776300165001e-14,1.3375232314355219,0.9950885131723334,0.4597917225292344,5.842678545666491e-11
IGSF6,12.158367540598285,9.608543705079414e-14,1.3324156729862369,0.9951534471203913,0.3985858860688266,2.2923761726962722e-08
S100A4,12.153502607431237,9.721990547934917e-14,1.3320736494154213,0.9951577746845959,0.3598076607778904,5.656177359255826e-07
SOX4_4,12.147810961094217,9.856434538796736e-14,1.3316733801051257,0.9951628359295066,-0.4854455450272739,3.2850736350395694e-12
TMEM189_3,12.071113670261255,1.1862513701944446e-13,1.3262664460309799,0.9952308570643684,0.23636634077829408,0.0012758138242298502
ITPR2,12.043895379084464,1.2669673309792344e-13,1.3243417360229812,0.9952549147948095,-0.2820656581021228,0.00010954585406498628
CFD,12.029086282332486,1.313191614682254e-13,1.3232932249401161,0.9952679862169787,0.19728657264662353,0.00743028630954752
MTMR11,11.990019355895415,1.4434774293660218e-13,1.3205227984721035,0.9953024077824376,0.3675448079823427,3.0834244241779126e-07
FCGR2A_3,11.976206490611675,1.492604209884734e-13,1.3195417249332695,0.99531455684104,0.5309385591155379,1.0631006287788297e-14
MTMR11_2,11.935537762879122,1.647278372669677e-13,1.3166485132198822,0.9953502618161756,0.3565051260369784,7.292850574450695e-07
JUP,11.933524864671298,1.655341452689276e-13,1.316505132286322,0.9953520265034869,-0.45768144922563336,7.326453178802439e-11
SIRPB1_2,11.922235596471044,1.7013074227549084e-13,1.315700667729235,0.9953619192555173,0.34329367836017427,1.9595271115855478e-06
HEXB,11.909961735199971,1.7527467031348083e-13,1.3148254295598527,0.9953726662530991,0.43832940216390565,5.438855328296671e-10
CNST,11.89585664243296,1.8138040955724074e-13,1.313818819314222,0.9953850056567877,-0.33803184333356423,2.8690210183494064e-06
ANXA2_3,11.88910773356859,1.8437739192540305e-13,1.313336884706346,0.9953909055551862,0.475088681405483,1.0808105808954779e-11
CSTA,11.804686149431511,2.2637909745581766e-13,1.3072920217902055,0.9954644773941717,0.4027142106799357,1.5892781764987187e-08
ATXN1,11.7919316683333,2.33516683210232e-13,1.3063761131583396,0.9954755555347379,0.3541056292017829,8.75616354955629e-07
STS_2,11.788642690633601,2.353938268528842e-13,1.3061398162798614,0.9954784106476922,0.3487292854614452,1.3119034667990604e-06
LY86,11.736535876005277,2.672516419329343e-13,1.3023900048605244,0.9955235565642255,0.4044112226013705,1.3651310467451739e-08
VPS37C_2,11.668935617079251,3.151672564967794e-13,1.2975077985124321,0.995581880130116,0.37021730646471285,2.491179174154872e-07
ELANE,11.664367560858775,3.1870221793605596e-13,1.2971771731319008,0.9955858112341749,0.05889197435449801,0.42841634037844195
BLOC1S1,11.646699273972853,3.3275586811365565e-13,1.2958975318007218,0.9956010038536652,0.4303593527808467,1.1980133665925922e-09
TYMP,11.553203661322339,4.182446186407119e-13,1.2891034263903922,0.9956810778572179,0.4069548418739827,1.0852161931406445e-08
TRIM38_2,11.53982404157233,4.3217515087560946e-13,1.2881280396079324,0.9956924923494475,0.2424890746102874,0.0009418083983294525
SNX21,11.536490288578177,4.357185117851094e-13,1.2878848838706658,0.9956953347178444,0.4223677661609726,2.5913089506253575e-09
SORL1,11.524343871606758,4.48878680843422e-13,1.2869985419551009,0.9957056849094368,-0.3386039588136433,2.753445572683043e-06
CD2AP,11.51089763747435,4.639159727942601e-13,1.2860165954897413,0.9957171319197151,-0.2000227864928626,0.006631423691694553
HNMT_4,11.503411690638178,4.725071481578957e-13,1.2856182024836111,0.9957217703034046,0.4196412157157709,3.3562040359029606e-09
STAB1_3,11.501097396418176,4.75195507072879e-13,1.285300406867461,0.9957254678846648,0.12704995236214026,0.08655162804058102
PROM1,11.444118429288984,5.464866276796124e-13,1.2811280825567515,0.9957738136454263,-0.3833374693776535,8.49935536781889e-08
RHOH,11.42712015317285,5.697789081581651e-13,1.2798805966069082,0.9957881966511576,-0.32760424170502506,5.9844231323068075e-06
TIMP2,11.423281098583614,5.751767803948006e-13,1.279598675377379,0.9957914425089023,0.41468227963878007,5.340695940339982e-09
NAGA_3,11.41584800886587,5.857752718671868e-13,1.2790526404192948,0.9957977244016412,0.3640403082046612,4.066650144941568e-07
MAPRE2,11.389464826108258,6.250121342774427e-13,1.2772295784686734,0.9958186521200783,-0.28548774250542774,8.951435896634985e-05
ATXN1_3,11.36530530232187,6.632672255233848e-13,1.2753332717093997,0.9958403459294035,0.32972431062356616,5.164757178455906e-06
BASP1,11.364296014350064,6.649158600924409e-13,1.2752588839610228,0.9958411953762881,0.4648126859192119,3.388853057487577e-11
SRGAP2_2,11.337451891348165,7.103169662917819e-13,1.2732787207902154,0.9958637642068204,0.41772859053198147,4.018368754362152e-09
PGAM1,11.330320175504902,7.228967233540809e-13,1.2727521077468777,0.9958697523143262,0.37075473980176854,2.386033245879381e-07
FNDC3B,11.256304568949327,8.675207353267044e-13,1.2672732843282541,0.9959317051769444,0.11237173223643725,0.12989364473454917
MANF,11.23496898483803,9.144025528662922e-13,1.2656894047386942,0.9959494975740977,0.1430150434262407,0.05343920122058973
P4HB_2,11.214975917141734,9.60655073997788e-13,1.2642033281186567,0.9959661434539577,0.28792419467882396,7.740319079788685e-05
SRGAP2_4,11.201475075818125,9.932179942139196e-13,1.263198796021242,0.9959773692324225,0.45287259335977964,1.220007980124498e-10
MT1X,11.199012430922439,9.992768183146531e-13,1.2630154737893111,0.9959794156027963,0.444227265739492,2.991845783460889e-10
CLEC2B,11.184824206232049,1.034918224754932e-12,1.26195875138891,0.9959911977645622,-0.16909779546042736,0.022117581346959778
SEC23B,11.165427108787858,1.085731662580637e-12,1.2605126041553454,0.9960072840672117,0.43245288936863135,9.755183302642335e-10
CTSS,11.152409719601081,1.1212383366575065e-12,1.2595411388467423,0.9960180656905125,0.2593098041873031,0.0003931059004718828
MIR6787_2,11.129841379165336,1.1855987550865246e-12,1.2578550796725334,0.9960367313604728,0.23406166779743456,0.0014274177074723481
SV2A,11.100094269203696,1.2761693135691867e-12,1.2556291622289493,0.9960612828812268,-0.4976334951697987,7.677649044348878e-13
SH3KBP1,11.095859712781495,1.289618475513232e-12,1.2553119709202565,0.9960647730601029,0.3506878686884069,1.133211325859008e-06
SOX4_3,11.09467349326964,1.293411567365198e-12,1.2552231019619275,0.9960657505445737,-0.44709930638006545,2.2270432727976384e-10
RNASE2,11.061069860678572,1.4056741495914616e-12,1.2527029223412378,0.996093402129268,0.35569800969057525,7.756813476738839e-07
BC042590,11.037265543611456,1.4911082534641992e-12,1.2509145384692029,0.996112944476484,-0.024045575072037983,0.7466192473952132
HSPA4L,11.028151579023332,1.5251900455975852e-12,1.2502291318601586,0.996120416612622,0.09554036296401779,0.1982563883102154
KB-431C1.4,11.024874421639497,1.5376363934441989e-12,1.2499825833338116,0.9961231020468028,-0.49062102881581693,1.7844756385034692e-12
SCPEP1,11.015811006495966,1.5725951545357233e-12,1.24930046374346,0.996130525217336,0.4160284032430069,4.7114607160482076e-09
CD68,10.977236008082553,1.7305920447595832e-12,1.2463930537776438,0.996162057294936,0.3897341031374609,4.9448830250247997e-08
TIMP1,10.928525493286063,1.9532265710773615e-12,1.2427119204549955,0.9962017306789789,0.4101289705759322,8.127932417351437e-09
SIRPA_2,10.91403163453207,2.024898601625766e-12,1.2416144763930654,0.9962135044303612,0.3739999400527072,1.8359645043845712e-07
MT1H,10.909249902718845,2.0491222271383416e-12,1.241252200172084,0.9962173856211123,0.40180049387867567,1.7242379433139322e-08
HLTF,10.884487394718986,2.1793279232438368e-12,1.2393744308665053,0.9962374596579686,-0.1587246303536315,0.03186516249824049
CTSB_2,10.882276238799287,2.1913533628286725e-12,1.2392066177855183,0.9962392501213694,0.4492368991995406,1.7845398751672104e-10
ALDH5A1,10.88117764174183,2.1973530094356063e-12,1.239123232595207,0.9962401395759648,-0.4313466361943334,1.0875758552459325e-09
SKAP2_2,10.876721239314596,2.2218608594410264e-12,1.2387849272725813,0.9962437467556099,0.009327830889698331,0.9002681255505339
MLLT3_3,10.874814058927218,2.2324335040115202e-12,1.2386401164891423,0.9962452900836533,-0.2090219853437884,0.0045162019317607
OCEL1,10.859709350653075,2.3179826433379606e-12,1.2374926289541852,0.9962575043074042,0.4105673135252153,7.808014340833037e-09
BCR,10.838697165908096,2.442525543415498e-12,1.235894588047326,0.9962744694878694,-0.4231305950293308,2.409419519825025e-09
ANXA8_2,10.835825352424747,2.4600643182412873e-12,1.2356760177643296,0.996276785824055,0.19438594291063171,0.008369563603964379
FUCA1,10.830537240228402,2.4926933154327873e-12,1.235273445081305,0.9962810496036533,0.3805971024924193,1.0681563605212396e-07
MBNL2_2,10.81334162842697,2.6018465903562118e-12,1.2339634760357825,0.996294901019311,-0.07474664932417431,0.31459219436087904
F2R_2,10.798353405882933,2.700918846129314e-12,1.2328205378247112,0.9963069576866596,-0.2725817204431141,0.00018914385974287746
SEC24D,10.792999659666371,2.7372232219649158e-12,1.2324120286783211,0.9963112605250394,0.3868921165130367,6.299211149536414e-08
CLEC7A_4,10.787623149567255,2.7741779101642098e-12,1.2436981778322984,0.996191128654282,0.250303799917506,0.0006322009061179722
CD86_2,10.785588890913449,2.7882911072240933e-12,1.2318463398318504,0.9963172133302753,0.28980316509021165,6.91315024158415e-05
ATP1B1_2,10.782076258857527,2.8128317950749295e-12,1.2315781188083539,0.9963200335726438,-0.3181156267689161,1.1416355978029606e-05
CD63,10.749597699484266,3.0503309793178656e-12,1.229095342465414,0.9963460695752369,0.39182216811778686,4.133133646585278e-08
